movAguila_x movAguila_y movAguila_z giroAguila
0.0 0.0 0.0 0.0
0.0 -20.0 -70.0 0.0
0.0 -50.0 -140.0 0.0
-80.0 -70.0 -170.0 100.0
-140.0 -90.0 -170.0 100.0
-170.0 -110.0 -100.0 180.0
-170.0 -80.0 -30.0 180.0
-170.0 -50.0 40.0 180.0
-170.0 -20.0 110.0 180.0
-100.0 10.0 110.0 260.0
-30.0 -10.0 110.0 260.0
40.0 -30.0 110.0 260.0
120.0 -60.0 110.0 260.0
200.0 -80.0 110.0 260.0
280.0 -100.0 110.0 260.0
330.0 -100.0 160.0 220.0
380.0 -70.0 200.0 220.0
440.0 -40.0 260.0 220.0
440.0 -40.0 340.0 180.0
390.0 -40.0 390.0 140.0
340.0 -20.0 430.0 140.0
270.0 -20.0 430.0 80.0
200.0 -20.0 430.0 80.0
170.0 -20.0 370.0 20.0
140.0 -20.0 310.0 20.0
110.0 -20.0 250.0 20.0
80.0 -20.0 200.0 20.0
40.0 -20.0 140.0 20.0
10.0 -10.0 100.0 20.0
-0.0 -10.0 10.0 0.0
-0.0 -10.0 -0.0 0.0
